zip_code,population_2021,,,,
92067,"9,060",,,,
95969,"9,032",,,,
94931,"8,966",,,,
95006,"8,873",,,,
93620,"8,865",,,,
95010,"8,808",,,,
92252,"8,797",,,,
94930,"8,796",,,,
93546,"8,779",,,,
95324,"8,639",,,,
93463,"8,598",,,,
90014,"8,547",,,,
95988,"8,483",,,,
92655,"8,440",,,,
92325,"8,347",,,,
92249,"8,346",,,,
95065,"8,301",,,,
93625,"8,273",,,,
95220,"8,251",,,,
93721,"8,168",,,,
93434,"8,138",,,,
93449,"8,058",,,,
94710,"8,056",,,,
92276,"8,052",,,,
95005,"8,020",,,,
95932,"7,963",,,,
90056,"7,956",,,,
93644,"7,889",,,,
91020,"7,869",,,,
94574,"7,859",,,,
95316,"7,832",,,,
92250,"7,798",,,,
95726,"7,754",,,,
90077,"7,729",,,,
92548,"7,665",,,,
96067,"7,518",,,,
90401,"7,482",,,,
92254,"7,478",,,,
92233,"7,454",,,,
95811,"7,432",,,,
92241,"7,319",,,,
94939,"7,274",,,,
94515,"7,269",,,,
95693,"7,247",,,,
94027,"7,213",,,,
95139,"7,144",,,,
93445,"7,061",,,,
93737,"7,051",,,,
93410,"7,021",,,,
93510,"7,010",,,,
93591,"6,914",,,,
95642,"6,913",,,,
95019,"6,912",,,,
92356,"6,901",,,,
96094,"6,846",,,,
95436,"6,602",,,,
94028,"6,582",,,,
95709,"6,495",,,,
93234,"6,485",,,,
94720,"6,467",,,,
93924,"6,416",,,,
95619,"6,407",,,,
92624,"6,398",,,,
95987,"6,370",,,,
92342,"6,347",,,,
95683,"6,311",,,,
93022,"6,140",,,,
95467,"6,109",,,,
95971,"6,106",,,,
93267,"6,079",,,,
95658,"6,023",,,,
95631,"6,022",,,,
95046,"6,005",,,,
93615,"5,994",,,,
95626,"5,978",,,,
95202,"5,976",,,,
95672,"5,937",,,,
93460,"5,933",,,,
93427,"5,913",,,,
93240,"5,912",,,,
95470,"5,903",,,,
92861,"5,864",,,,
95018,"5,853",,,,
93256,"5,823",,,,
93656,"5,777",,,,
93428,"5,721",,,,
92372,"5,701",,,,
92823,"5,626",,,,
95666,"5,542",,,,
95249,"5,533",,,,
93225,"5,483",,,,
95671,"5,386",,,,
92352,"5,382",,,,
96073,"5,377",,,,
92590,"5,364",,,,
96101,"5,343",,,,
92363,"5,312",,,,
93609,"5,309",,,,
93106,"5,295",,,,
92315,"5,225",,,,
92397,"5,215",,,,
95222,"5,161",,,,
93501,"5,128",,,,
90290,"5,114",,,,
95692,"5,044",,,,
92369,"4,957",,,,
95231,"4,933",,,,
95722,"4,930",,,,
92210,"4,827",,,,
92539,"4,821",,,,
95685,"4,814",,,,
93451,"4,811",,,,
95655,"4,806",,,,
93270,"4,806",,,,
94005,"4,803",,,,
95912,"4,782",,,,
95446,"4,781",,,,
95236,"4,756",,,,
94111,"4,707",,,,
96088,"4,685",,,,
95665,"4,650",,,,
93272,"4,598",,,,
95614,"4,580",,,,
95228,"4,571",,,,
91906,"4,547",,,,
96013,"4,519",,,,
93202,"4,491",,,,
93235,"4,459",,,,
96064,"4,442",,,,
95623,"4,411",,,,
96093,"4,391",,,,
92382,"4,323",,,,
90010,"4,313",,,,
92003,"4,299",,,,
94304,"4,295",,,,
93581,"4,284",,,,
